month,views,article
2015-07-01,6,Honghesaurus - mobile min
2015-08-01,5,Honghesaurus - mobile min
2015-09-01,2,Honghesaurus - mobile min
2015-10-01,1,Honghesaurus - mobile min
2015-11-01,3,Honghesaurus - mobile min
2015-12-01,0,Honghesaurus - mobile min
2016-01-01,1,Honghesaurus - mobile min
2016-02-01,4,Honghesaurus - mobile min
2016-03-01,1,Honghesaurus - mobile min
2016-04-01,6,Honghesaurus - mobile min
2016-05-01,3,Honghesaurus - mobile min
2016-06-01,2,Honghesaurus - mobile min
2016-07-01,1,Honghesaurus - mobile min
2016-08-01,3,Honghesaurus - mobile min
2016-09-01,3,Honghesaurus - mobile min
2016-10-01,2,Honghesaurus - mobile min
2016-11-01,0,Honghesaurus - mobile min
2016-12-01,2,Honghesaurus - mobile min
2017-01-01,5,Honghesaurus - mobile min
2017-02-01,2,Honghesaurus - mobile min
2017-03-01,1,Honghesaurus - mobile min
2017-04-01,2,Honghesaurus - mobile min
2017-05-01,0,Honghesaurus - mobile min
2017-06-01,3,Honghesaurus - mobile min
2017-07-01,1,Honghesaurus - mobile min
2017-08-01,5,Honghesaurus - mobile min
2017-09-01,1,Honghesaurus - mobile min
2017-10-01,4,Honghesaurus - mobile min
2017-11-01,3,Honghesaurus - mobile min
2017-12-01,13,Honghesaurus - mobile min
2018-01-01,7,Honghesaurus - mobile min
2018-02-01,5,Honghesaurus - mobile min
2018-03-01,0,Honghesaurus - mobile min
2018-04-01,2,Honghesaurus - mobile min
2018-05-01,7,Honghesaurus - mobile min
2018-06-01,4,Honghesaurus - mobile min
2018-07-01,5,Honghesaurus - mobile min
2018-08-01,8,Honghesaurus - mobile min
2018-09-01,3,Honghesaurus - mobile min
2018-10-01,5,Honghesaurus - mobile min
2018-11-01,7,Honghesaurus - mobile min
2018-12-01,7,Honghesaurus - mobile min
2019-01-01,5,Honghesaurus - mobile min
2019-02-01,10,Honghesaurus - mobile min
2019-03-01,10,Honghesaurus - mobile min
2019-04-01,5,Honghesaurus - mobile min
2019-05-01,6,Honghesaurus - mobile min
2019-06-01,9,Honghesaurus - mobile min
2019-07-01,6,Honghesaurus - mobile min
2019-08-01,2,Honghesaurus - mobile min
2019-09-01,4,Honghesaurus - mobile min
2019-10-01,2,Honghesaurus - mobile min
2019-11-01,5,Honghesaurus - mobile min
2019-12-01,2,Honghesaurus - mobile min
2020-01-01,2,Honghesaurus - mobile min
2020-02-01,3,Honghesaurus - mobile min
2020-03-01,8,Honghesaurus - mobile min
2020-04-01,3,Honghesaurus - mobile min
2020-05-01,10,Honghesaurus - mobile min
2020-06-01,1,Honghesaurus - mobile min
2020-07-01,0,Honghesaurus - mobile min
2020-08-01,5,Honghesaurus - mobile min
2020-09-01,3,Honghesaurus - mobile min
2020-10-01,1,Honghesaurus - mobile min
2020-11-01,0,Honghesaurus - mobile min
2020-12-01,2,Honghesaurus - mobile min
2021-01-01,1,Honghesaurus - mobile min
2021-02-01,2,Honghesaurus - mobile min
2021-03-01,1,Honghesaurus - mobile min
2021-04-01,1,Honghesaurus - mobile min
2021-05-01,1,Honghesaurus - mobile min
2021-06-01,2,Honghesaurus - mobile min
2021-07-01,1,Honghesaurus - mobile min
2021-08-01,2,Honghesaurus - mobile min
2021-09-01,1,Honghesaurus - mobile min
2021-10-01,4,Honghesaurus - mobile min
2021-11-01,1,Honghesaurus - mobile min
2021-12-01,2,Honghesaurus - mobile min
2022-01-01,4,Honghesaurus - mobile min
2022-02-01,1,Honghesaurus - mobile min
2022-03-01,1,Honghesaurus - mobile min
2022-04-01,0,Honghesaurus - mobile min
2022-05-01,146,Honghesaurus - mobile min
2022-06-01,31,Honghesaurus - mobile min
2022-07-01,22,Honghesaurus - mobile min
2022-08-01,20,Honghesaurus - mobile min
2022-09-01,19,Honghesaurus - mobile min
2015-07-01,113592,Tyrannosaurus - mobile max
2015-08-01,61089,Tyrannosaurus - mobile max
2015-09-01,47233,Tyrannosaurus - mobile max
2015-10-01,63541,Tyrannosaurus - mobile max
2015-11-01,56612,Tyrannosaurus - mobile max
2015-12-01,58915,Tyrannosaurus - mobile max
2016-01-01,58867,Tyrannosaurus - mobile max
2016-02-01,50665,Tyrannosaurus - mobile max
2016-03-01,58583,Tyrannosaurus - mobile max
2016-04-01,59570,Tyrannosaurus - mobile max
2016-05-01,77801,Tyrannosaurus - mobile max
2016-06-01,60696,Tyrannosaurus - mobile max
2016-07-01,51209,Tyrannosaurus - mobile max
2016-08-01,46501,Tyrannosaurus - mobile max
2016-09-01,43376,Tyrannosaurus - mobile max
2016-10-01,45844,Tyrannosaurus - mobile max
2016-11-01,45249,Tyrannosaurus - mobile max
2016-12-01,52886,Tyrannosaurus - mobile max
2017-01-01,55088,Tyrannosaurus - mobile max
2017-02-01,47922,Tyrannosaurus - mobile max
2017-03-01,58853,Tyrannosaurus - mobile max
2017-04-01,50391,Tyrannosaurus - mobile max
2017-05-01,53003,Tyrannosaurus - mobile max
2017-06-01,47399,Tyrannosaurus - mobile max
2017-07-01,52405,Tyrannosaurus - mobile max
2017-08-01,43804,Tyrannosaurus - mobile max
2017-09-01,37431,Tyrannosaurus - mobile max
2017-10-01,43005,Tyrannosaurus - mobile max
2017-11-01,45931,Tyrannosaurus - mobile max
2017-12-01,54339,Tyrannosaurus - mobile max
2018-01-01,58190,Tyrannosaurus - mobile max
2018-02-01,46416,Tyrannosaurus - mobile max
2018-03-01,49067,Tyrannosaurus - mobile max
2018-04-01,51915,Tyrannosaurus - mobile max
2018-05-01,59601,Tyrannosaurus - mobile max
2018-06-01,139326,Tyrannosaurus - mobile max
2018-07-01,117971,Tyrannosaurus - mobile max
2018-08-01,68191,Tyrannosaurus - mobile max
2018-09-01,60117,Tyrannosaurus - mobile max
2018-10-01,56196,Tyrannosaurus - mobile max
2018-11-01,52198,Tyrannosaurus - mobile max
2018-12-01,52485,Tyrannosaurus - mobile max
2019-01-01,56221,Tyrannosaurus - mobile max
2019-02-01,51000,Tyrannosaurus - mobile max
2019-03-01,67492,Tyrannosaurus - mobile max
2019-04-01,57280,Tyrannosaurus - mobile max
2019-05-01,52152,Tyrannosaurus - mobile max
2019-06-01,51095,Tyrannosaurus - mobile max
2019-07-01,51514,Tyrannosaurus - mobile max
2019-08-01,48279,Tyrannosaurus - mobile max
2019-09-01,51192,Tyrannosaurus - mobile max
2019-10-01,48248,Tyrannosaurus - mobile max
2019-11-01,46251,Tyrannosaurus - mobile max
2019-12-01,49122,Tyrannosaurus - mobile max
2020-01-01,56866,Tyrannosaurus - mobile max
2020-02-01,56635,Tyrannosaurus - mobile max
2020-03-01,57206,Tyrannosaurus - mobile max
2020-04-01,71712,Tyrannosaurus - mobile max
2020-05-01,67871,Tyrannosaurus - mobile max
2020-06-01,60024,Tyrannosaurus - mobile max
2020-07-01,63542,Tyrannosaurus - mobile max
2020-08-01,74654,Tyrannosaurus - mobile max
2020-09-01,57071,Tyrannosaurus - mobile max
2020-10-01,59452,Tyrannosaurus - mobile max
2020-11-01,56525,Tyrannosaurus - mobile max
2020-12-01,58055,Tyrannosaurus - mobile max
2021-01-01,61071,Tyrannosaurus - mobile max
2021-02-01,57623,Tyrannosaurus - mobile max
2021-03-01,65910,Tyrannosaurus - mobile max
2021-04-01,78138,Tyrannosaurus - mobile max
2021-05-01,62398,Tyrannosaurus - mobile max
2021-06-01,63028,Tyrannosaurus - mobile max
2021-07-01,56701,Tyrannosaurus - mobile max
2021-08-01,57772,Tyrannosaurus - mobile max
2021-09-01,55918,Tyrannosaurus - mobile max
2021-10-01,50630,Tyrannosaurus - mobile max
2021-11-01,49872,Tyrannosaurus - mobile max
2021-12-01,57002,Tyrannosaurus - mobile max
2022-01-01,59316,Tyrannosaurus - mobile max
2022-02-01,53710,Tyrannosaurus - mobile max
2022-03-01,61967,Tyrannosaurus - mobile max
2022-04-01,58794,Tyrannosaurus - mobile max
2022-05-01,68130,Tyrannosaurus - mobile max
2022-06-01,116521,Tyrannosaurus - mobile max
2022-07-01,88247,Tyrannosaurus - mobile max
2022-08-01,72021,Tyrannosaurus - mobile max
2022-09-01,62079,Tyrannosaurus - mobile max
2015-07-01,23,Honghesaurus - desktop min
2015-08-01,13,Honghesaurus - desktop min
2015-09-01,27,Honghesaurus - desktop min
2015-10-01,16,Honghesaurus - desktop min
2015-11-01,10,Honghesaurus - desktop min
2015-12-01,10,Honghesaurus - desktop min
2016-01-01,15,Honghesaurus - desktop min
2016-02-01,13,Honghesaurus - desktop min
2016-03-01,14,Honghesaurus - desktop min
2016-04-01,10,Honghesaurus - desktop min
2016-05-01,14,Honghesaurus - desktop min
2016-06-01,9,Honghesaurus - desktop min
2016-07-01,11,Honghesaurus - desktop min
2016-08-01,5,Honghesaurus - desktop min
2016-09-01,14,Honghesaurus - desktop min
2016-10-01,7,Honghesaurus - desktop min
2016-11-01,9,Honghesaurus - desktop min
2016-12-01,20,Honghesaurus - desktop min
2017-01-01,10,Honghesaurus - desktop min
2017-02-01,12,Honghesaurus - desktop min
2017-03-01,23,Honghesaurus - desktop min
2017-04-01,10,Honghesaurus - desktop min
2017-05-01,8,Honghesaurus - desktop min
2017-06-01,10,Honghesaurus - desktop min
2017-07-01,29,Honghesaurus - desktop min
2017-08-01,5,Honghesaurus - desktop min
2017-09-01,11,Honghesaurus - desktop min
2017-10-01,11,Honghesaurus - desktop min
2017-11-01,13,Honghesaurus - desktop min
2017-12-01,12,Honghesaurus - desktop min
2018-01-01,9,Honghesaurus - desktop min
