month,views,article,access_type
2015-07-01,640,Nigersaurus,mobile
2015-08-01,478,Nigersaurus,mobile
2015-09-01,404,Nigersaurus,mobile
2015-10-01,481,Nigersaurus,mobile
2015-11-01,498,Nigersaurus,mobile
2015-12-01,457,Nigersaurus,mobile
2016-01-01,473,Nigersaurus,mobile
2016-02-01,409,Nigersaurus,mobile
2016-03-01,438,Nigersaurus,mobile
2016-04-01,408,Nigersaurus,mobile
2016-05-01,2550,Nigersaurus,mobile
2016-06-01,379,Nigersaurus,mobile
2016-07-01,444,Nigersaurus,mobile
2016-08-01,347,Nigersaurus,mobile
2016-09-01,298,Nigersaurus,mobile
2016-10-01,364,Nigersaurus,mobile
2016-11-01,309,Nigersaurus,mobile
2016-12-01,434,Nigersaurus,mobile
2017-01-01,401,Nigersaurus,mobile
2017-02-01,911,Nigersaurus,mobile
2017-03-01,423,Nigersaurus,mobile
2017-04-01,390,Nigersaurus,mobile
2017-05-01,502,Nigersaurus,mobile
2017-06-01,362,Nigersaurus,mobile
2017-07-01,404,Nigersaurus,mobile
2017-08-01,330,Nigersaurus,mobile
2017-09-01,316,Nigersaurus,mobile
2017-10-01,579,Nigersaurus,mobile
2017-11-01,366,Nigersaurus,mobile
2017-12-01,475,Nigersaurus,mobile
2018-01-01,866,Nigersaurus,mobile
2018-02-01,453,Nigersaurus,mobile
2018-03-01,501,Nigersaurus,mobile
2018-04-01,521,Nigersaurus,mobile
2018-05-01,629,Nigersaurus,mobile
2018-06-01,2610,Nigersaurus,mobile
2018-07-01,4032,Nigersaurus,mobile
2018-08-01,1386,Nigersaurus,mobile
2018-09-01,1344,Nigersaurus,mobile
2018-10-01,921,Nigersaurus,mobile
2018-11-01,1830,Nigersaurus,mobile
2018-12-01,3051,Nigersaurus,mobile
2019-01-01,15739,Nigersaurus,mobile
2019-02-01,3839,Nigersaurus,mobile
2019-03-01,4068,Nigersaurus,mobile
2019-04-01,2644,Nigersaurus,mobile
2019-05-01,1820,Nigersaurus,mobile
2019-06-01,1655,Nigersaurus,mobile
2019-07-01,5416,Nigersaurus,mobile
2019-08-01,1806,Nigersaurus,mobile
2019-09-01,5642,Nigersaurus,mobile
2019-10-01,3601,Nigersaurus,mobile
2019-11-01,1979,Nigersaurus,mobile
2019-12-01,7300,Nigersaurus,mobile
2020-01-01,200855,Nigersaurus,mobile
2020-02-01,235977,Nigersaurus,mobile
2020-03-01,31714,Nigersaurus,mobile
2020-04-01,48065,Nigersaurus,mobile
2020-05-01,20056,Nigersaurus,mobile
2020-06-01,11095,Nigersaurus,mobile
2020-07-01,9865,Nigersaurus,mobile
2020-08-01,8795,Nigersaurus,mobile
2020-09-01,6867,Nigersaurus,mobile
2020-10-01,10478,Nigersaurus,mobile
2020-11-01,12416,Nigersaurus,mobile
2020-12-01,7772,Nigersaurus,mobile
2021-01-01,57307,Nigersaurus,mobile
2021-02-01,174408,Nigersaurus,mobile
2021-03-01,60512,Nigersaurus,mobile
2021-04-01,25526,Nigersaurus,mobile
2021-05-01,18741,Nigersaurus,mobile
2021-06-01,30531,Nigersaurus,mobile
2021-07-01,8633,Nigersaurus,mobile
2021-08-01,8585,Nigersaurus,mobile
2021-09-01,16802,Nigersaurus,mobile
2021-10-01,11939,Nigersaurus,mobile
2021-11-01,6507,Nigersaurus,mobile
2021-12-01,7708,Nigersaurus,mobile
2022-01-01,6844,Nigersaurus,mobile
2022-02-01,9200,Nigersaurus,mobile
2022-03-01,11618,Nigersaurus,mobile
2022-04-01,8168,Nigersaurus,mobile
2022-05-01,11879,Nigersaurus,mobile
2022-06-01,7838,Nigersaurus,mobile
2022-07-01,7591,Nigersaurus,mobile
2022-08-01,10725,Nigersaurus,mobile
2022-09-01,13547,Nigersaurus,mobile
2015-07-01,1609,Deinocheirus,mobile
2015-08-01,1042,Deinocheirus,mobile
2015-09-01,856,Deinocheirus,mobile
2015-10-01,1004,Deinocheirus,mobile
2015-11-01,997,Deinocheirus,mobile
2015-12-01,1000,Deinocheirus,mobile
2016-01-01,1125,Deinocheirus,mobile
2016-02-01,1703,Deinocheirus,mobile
2016-03-01,1193,Deinocheirus,mobile
2016-04-01,1295,Deinocheirus,mobile
2016-05-01,1215,Deinocheirus,mobile
2016-06-01,1102,Deinocheirus,mobile
2016-07-01,28673,Deinocheirus,mobile
2016-08-01,1297,Deinocheirus,mobile
2016-09-01,1074,Deinocheirus,mobile
2016-10-01,1019,Deinocheirus,mobile
2016-11-01,933,Deinocheirus,mobile
2016-12-01,1100,Deinocheirus,mobile
2017-01-01,1209,Deinocheirus,mobile
2017-02-01,1072,Deinocheirus,mobile
2017-03-01,1350,Deinocheirus,mobile
2017-04-01,1223,Deinocheirus,mobile
2017-05-01,1096,Deinocheirus,mobile
2017-06-01,903,Deinocheirus,mobile
2017-07-01,1091,Deinocheirus,mobile
2017-08-01,956,Deinocheirus,mobile
2017-09-01,882,Deinocheirus,mobile
2017-10-01,943,Deinocheirus,mobile
2017-11-01,808,Deinocheirus,mobile
2017-12-01,1196,Deinocheirus,mobile
2018-01-01,1063,Deinocheirus,mobile
2018-02-01,1032,Deinocheirus,mobile
2018-03-01,1197,Deinocheirus,mobile
2018-04-01,1261,Deinocheirus,mobile
2018-05-01,1427,Deinocheirus,mobile
2018-06-01,2147,Deinocheirus,mobile
2018-07-01,2402,Deinocheirus,mobile
2018-08-01,1472,Deinocheirus,mobile
2018-09-01,1189,Deinocheirus,mobile
2018-10-01,3722,Deinocheirus,mobile
2018-11-01,2174,Deinocheirus,mobile
2018-12-01,1458,Deinocheirus,mobile
2019-01-01,1356,Deinocheirus,mobile
2019-02-01,1454,Deinocheirus,mobile
2019-03-01,1585,Deinocheirus,mobile
2019-04-01,1591,Deinocheirus,mobile
2019-05-01,1422,Deinocheirus,mobile
2019-06-01,1715,Deinocheirus,mobile
2019-07-01,1512,Deinocheirus,mobile
